iter	RMSE
0	0.3740297823
1	0.3519779322
2	0.3293689289
3	0.3106610426
4	0.2928063528
5	0.2756932204
6	0.2622009726
7	0.2492641244
8	0.2378535604
9	0.2276050393
10	0.2176622465
11	0.2092976932
12	0.2003498856
13	0.1928239115
14	0.1864364947
15	0.1799087783
16	0.1746594105
17	0.1704705458
18	0.1658475052
19	0.1610661962
20	0.1569955928
21	0.153827951
22	0.1512109416
23	0.1480015341
24	0.145071337
25	0.1419425329
26	0.1397533831
27	0.1372659158
28	0.1350922755
29	0.133035316
30	0.130946608
31	0.1293906387
32	0.1276903675
33	0.1258967676
34	0.1248675583
35	0.1231108378
36	0.1217740542
37	0.1204151584
38	0.119192408
39	0.1177752121
40	0.1165827678
41	0.1153064866
42	0.1140458366
43	0.1128595944
44	0.1118246657
45	0.1109326408
46	0.1100828647
47	0.1093740819
48	0.1085721597
49	0.1076619113
50	0.1066335254
51	0.1060269982
52	0.1051020678
53	0.1043624496
54	0.1037673962
55	0.1030471087
56	0.1025571573
57	0.101759239
58	0.1010823749
59	0.1004577841
60	0.0998028383
61	0.09915697702
62	0.09849214524
63	0.09789336817
64	0.09728490751
65	0.09675514305
66	0.09625154752
67	0.09583470774
68	0.0952510318
69	0.09460037046
70	0.09395610603
71	0.09322603504
72	0.0926864587
73	0.09191079959
74	0.09145837494
75	0.09077265096
76	0.09052664846
77	0.08991852566
78	0.08934925494
79	0.08892824963
80	0.08857403422
81	0.08807939602
82	0.08756766128
83	0.08692685118
84	0.08668167093
85	0.0859029535
86	0.0853604903
87	0.08471636815
88	0.08440588058
89	0.08396915586
90	0.08361023455
91	0.08342849911
92	0.08301591847
93	0.08253489995
94	0.08217978796
95	0.08180597253
96	0.08150012337
97	0.08121320331
98	0.08077134131
99	0.08051577358
